# x_m,y_m
8.344064772323147139e+00,0.000000000000000000e+00
8.355086498385706051e+00,6.388992559050428455e-02
8.365792840508737171e+00,1.278334476399619335e-01
8.376157458554649438e+00,1.918332393466814223e-01
8.386178568743504869e+00,2.558877109754317258e-01
8.395845831402464654e+00,3.199965346123507248e-01
8.405137645264488810e+00,3.841608465618434609e-01
8.414060907684271839e+00,4.483774479159210458e-01
8.422580030984926580e+00,5.126489017860178521e-01
8.430702972961347186e+00,5.769716135627633857e-01
8.438410662520004379e+00,6.413453972032993056e-01
8.445682470848280943e+00,7.057698682166748672e-01
8.452524235865636726e+00,7.702414247802459313e-01
8.458897899843753621e+00,8.347609269789940667e-01
8.464808983589602320e+00,8.993244339786651276e-01
8.470244406955439231e+00,9.639297254445288177e-01
8.475169368878399112e+00,1.028575924830021027e+00
8.479597002584494447e+00,1.093258068621346668e+00
8.483496545944746003e+00,1.157974186597386268e+00
8.486853092407343979e+00,1.222720724243272716e+00
8.489670495025418262e+00,1.287492961110826561e+00
8.491907320776975965e+00,1.352287830511755384e+00
8.493566887524162112e+00,1.417100026252523959e+00
8.494644868701746176e+00,1.481924522542860556e+00
8.495090553464551775e+00,1.546756433884720394e+00
8.494923292810268478e+00,1.611589613773382945e+00
8.494128964520637481e+00,1.676418166562622769e+00
8.492658117342397617e+00,1.741234884701311492e+00
8.490534636759381470e+00,1.806033450697301035e+00
8.487738075219963818e+00,1.870806477838347304e+00
8.484225158983170090e+00,1.935544590504522544e+00
8.480018362770730178e+00,2.000241267724974126e+00
8.475095091260575586e+00,2.064887388747352226e+00
8.469415652354198798e+00,2.129471452926552377e+00
8.463002714537315896e+00,2.193986760762248966e+00
8.455833111305913974e+00,2.258422389286380394e+00
8.447868369955459755e+00,2.322764552570845353e+00
8.439132853738378515e+00,2.387006553959514221e+00
8.429604240308689711e+00,2.451135743557439906e+00
8.419243309757058924e+00,2.515135713439224041e+00
8.408077429651735102e+00,2.579000102733061794e+00
8.396086318664027104e+00,2.642714739323280604e+00
8.383228551296616260e+00,2.706260133584371452e+00
8.369535549242920425e+00,2.769630725423746220e+00
8.354990020083755908e+00,2.832811132402794030e+00
8.339547432433898067e+00,2.895778270923444975e+00
8.323244010457582220e+00,2.958527947877750641e+00
8.306066147547507938e+00,3.021043964660505399e+00
8.287965846067994136e+00,3.083299152511783880e+00
8.268984567980609768e+00,3.145291315814929600e+00
8.249112862496593479e+00,3.207003894445632497e+00
8.228299363141722722e+00,3.268405225863918240e+00
8.206590910260858962e+00,3.329495770071994709e+00
8.183982495886173325e+00,3.390259106886577278e+00
8.160419807322144337e+00,3.450658789320438569e+00
8.135954952784125283e+00,3.510698588361023109e+00
8.110587129183935318e+00,3.570362596872071137e+00
8.084260852750489335e+00,3.629609927479757747e+00
8.057032010474808104e+00,3.688447778548848088e+00
8.028902575061151126e+00,3.746860540957766439e+00
7.999822203734359150e+00,3.804805746434340996e+00
7.969844415443378516e+00,3.862291673891893762e+00
7.938975897857329933e+00,3.919304365529379108e+00
7.907171955038760913e+00,3.975800567692514331e+00
7.874483203959630195e+00,4.031789347670222234e+00
7.840921017967117379e+00,4.087259064082941151e+00
7.806446827125749444e+00,4.142166619778948622e+00
7.771107609229400914e+00,4.196521354623659050e+00
7.734919378128588541e+00,4.250314663393110592e+00
7.697850116116669028e+00,4.303504684294901850e+00
7.659942254800630401e+00,4.356100240571411319e+00
7.621216388574651113e+00,4.408096536764269047e+00
7.581647376974786745e+00,4.459454126664783580e+00
7.541272127902712619e+00,4.510180255357877144e+00
7.500115717996889586e+00,4.560274745188803713e+00
7.458160046020570810e+00,4.609701780387995385e+00
7.415435596700741705e+00,4.658465763861898701e+00
7.371971749445503264e+00,4.706571933241581185e+00
7.327757377774227088e+00,4.753989255262598412e+00
7.282815892914728195e+00,4.800717969287593867e+00
7.237180664023143528e+00,4.846769442141484419e+00
7.190847196464987157e+00,4.892118390857204346e+00
7.143831588792643572e+00,4.936759725157390477e+00
7.096170703602486363e+00,4.980711473528305788e+00
7.047866027855228310e+00,5.023954753683931074e+00
6.998926641958238548e+00,5.066478392719242052e+00
6.949392187392515297e+00,5.108307318218063386e+00
6.899269177371539996e+00,5.149429253526626837e+00
6.848560562085222791e+00,5.189826872312202966e+00
6.797307818663135492e+00,5.229531828521130521e+00
6.745521262715244326e+00,5.268538106691787348e+00
6.693199179748875238e+00,5.306823077749901252e+00
6.640383730317073407e+00,5.344424439841471752e+00
6.587087608950813689e+00,5.381341483732196451e+00
6.533306387985381214e+00,5.417548216827738017e+00
6.479081600619015724e+00,5.453087124924666185e+00
6.424426791904255474e+00,5.487961237609620291e+00
6.369337101897741604e+00,5.522144282711302310e+00
6.313852044140507047e+00,5.555681689189208683e+00
6.257984491766482193e+00,5.588578115254030365e+00
6.201731560475289839e+00,5.620811152572895431e+00
6.145129366088817768e+00,5.652426792571744407e+00
6.088188709495940820e+00,5.683428817548898060e+00
6.030910992372743529e+00,5.713803639403501222e+00
