# x_m,y_m
5.973327673556280359e+00,5.743595021403740120e+00
5.915446314519751780e+00,5.772803199838725696e+00
5.857274592310502292e+00,5.801428760829148601e+00
5.798838271450747150e+00,5.829510243596584651e+00
5.740140837674799101e+00,5.857041807374770315e+00
5.681197709478237989e+00,5.884043384920709663e+00
5.622028234642609590e+00,5.910545371226660016e+00
5.562631397136351907e+00,5.936533826070962583e+00
5.503031131163795386e+00,5.962052294971226907e+00
5.443235723259081560e+00,5.987110140151549409e+00
5.383252641794904036e+00,6.011715404014109865e+00
5.323101347215738244e+00,6.035906587608106832e+00
5.262782555230950621e+00,6.059677087541383678e+00
5.202315607587047808e+00,6.083068166165998214e+00
5.141706697064889475e+00,6.106088931376915774e+00
5.080966553829875387e+00,6.128761225240506150e+00
5.020107228085140427e+00,6.151111656296901486e+00
4.959134436142281999e+00,6.173150713305096460e+00
4.898062998589245431e+00,6.194914955260258260e+00
4.836896401908524545e+00,6.216410344892493001e+00
4.775649955301441985e+00,6.237677177593753619e+00
4.714326926896070802e+00,6.258722196264804083e+00
4.652941594132671277e+00,6.279584801719355625e+00
4.591498286098262938e+00,6.300276062094023466e+00
4.530009446671416029e+00,6.320831633223174428e+00
4.468481048988105719e+00,6.341268508879169374e+00
4.406923580803096208e+00,6.361617663165875847e+00
4.345344575573165891e+00,6.381901560742440083e+00
4.283753086359133988e+00,6.402147524061204464e+00
4.222157479461844609e+00,6.422380958324294120e+00
4.160566505745836530e+00,6.442628489649888657e+00
4.098988287626120552e+00,6.462914776035318276e+00
4.037432158209028898e+00,6.483267981210238062e+00
3.975906169872012175e+00,6.503712103644421205e+00
3.914418296518790807e+00,6.524270569047845747e+00
3.852979367630161356e+00,6.544974827638537107e+00
3.791595747059115062e+00,6.565842459700824918e+00
3.730275894027561101e+00,6.586896733315337649e+00
3.669031262621931688e+00,6.608168801120346103e+00
3.607867283171042327e+00,6.629671619912867797e+00
3.546792018395588553e+00,6.651425137451052017e+00
3.485816585481532837e+00,6.673456921933249575e+00
3.424946849937846149e+00,6.695779009118528968e+00
3.364189316966835985e+00,6.718404688046223150e+00
3.303551661689156038e+00,6.741349733555725976e+00
3.243043852087936330e+00,6.764635009196584114e+00
3.182668257018073099e+00,6.788260918649659637e+00
3.122430309784913316e+00,6.812235607897866529e+00
3.062335772933495015e+00,6.836567575878651937e+00
3.002391563583412637e+00,6.861267551213902749e+00
2.942597062509827666e+00,6.886327721880592279e+00
2.882954476357234785e+00,6.911747340425650421e+00
2.823465689576063475e+00,6.937524894088059391e+00
2.764134700845418013e+00,6.963663596269098477e+00
2.704956287113417623e+00,6.990145881681509188e+00
2.645928522848825182e+00,7.016962299030254258e+00
2.587049119367068162e+00,7.044102972057313394e+00
2.528317501417156610e+00,7.071561993048292472e+00
2.469724118134735136e+00,7.099314748419052634e+00
2.411262802234826808e+00,7.127344666082146674e+00
2.352928401034854122e+00,7.155637802668873171e+00
2.294713138368069227e+00,7.184175277130652404e+00
2.236605361728134067e+00,7.212930992724954748e+00
2.178595632557289719e+00,7.241884026818235398e+00
2.120676576003345470e+00,7.271018038166551456e+00
2.062833223350048151e+00,7.300302071155819306e+00
2.005054153629706182e+00,7.329712753972715156e+00
1.947329462959549007e+00,7.359230034756897076e+00
1.889643884004237773e+00,7.388823683763034111e+00
1.831985150239377580e+00,7.418469609108221618e+00
1.774340326334468809e+00,7.448142575057904224e+00
1.716695604184211632e+00,7.477815738652163091e+00
1.659037547025740578e+00,7.507462979985723983e+00
1.601352514780501446e+00,7.537057694671541519e+00
1.543628113654980538e+00,7.566575540733039063e+00
1.485848672163528450e+00,7.595985489803024571e+00
1.428004546918556272e+00,7.625267999123490625e+00
1.370078912165139995e+00,7.654388921473293195e+00
1.312063145370260919e+00,7.683329836170524452e+00
1.253941926918722638e+00,7.712058372400888651e+00
1.195705862529844676e+00,7.740553345794880968e+00
1.137341934027225721e+00,7.768785484192188839e+00
1.078840420835137426e+00,7.796731362404591970e+00
1.020190088808422546e+00,7.824363530844204107e+00
9.613820625566833478e-01,7.851658423789222851e+00
9.024056638173307832e-01,7.878587560943030255e+00
8.432546150411081021e-01,7.905130813063505180e+00
7.839170293839802239e-01,7.931254374015090924e+00
7.243913791166430860e-01,7.956946467641826004e+00
6.646624734460411243e-01,7.982162391301298676e+00
6.047358795307802293e-01,8.006904812225009493e+00
5.445908994337741449e-01,8.031111475421930379e+00
4.842383423399169162e-01,8.054795770841133518e+00
4.236624383071003752e-01,8.077902747779535986e+00
3.628676363012678929e-01,8.100427439052383605e+00
3.018490058633563899e-01,8.122338447524970917e+00
2.406020661892180890e-01,8.143602878686404978e+00
1.791348297811207468e-01,8.164221871598151381e+00
1.174323889357134082e-01,8.184125880836532474e+00
5.551103811640599461e-02,8.203337868691214396e+00
-6.637521744927440438e-03,8.221801492175867310e+00
-6.900673690709201169e-02,8.239505348469217338e+00
-1.315901794838127414e-01,8.256436306230384048e+00
-1.943931167817333772e-01,8.272533919554057036e+00
-2.573980929358020142e-01,8.287821506252816661e+00
-3.206090347137307006e-01,8.302233596869907473e+00
-3.840128436963659020e-01,8.315771819755578775e+00
-4.476006548351071368e-01,8.328417597717452381e+00
-5.113701288775589493e-01,8.340112783512976691e+00
-5.753018680642346672e-01,8.350885523814044475e+00
-6.393930645446055383e-01,8.360664659388193698e+00
-7.036265273630767370e-01,8.369460634211458583e+00
-7.679893251202554172e-01,8.377253975466054214e+00
-8.324715504162605306e-01,8.383987980597956025e+00
-8.970525173816767950e-01,8.389697619876786305e+00
-9.617212878628847994e-01,8.394306835633038588e+00
-1.026457857800846085e+00,8.397837340019988162e+00
-1.091245065233911182e+00,8.400267119419682516e+00
-1.156065174888789349e+00,8.401547270397426104e+00
-1.220897702775577631e+00,8.401718178665937842e+00
-1.285722371893952110e+00,8.400697364340063089e+00
-1.350518647937121841e+00,8.398526219497906453e+00
-1.415264501601652292e+00,8.395173344875891175e+00
-1.479936260708629270e+00,8.390609194282273364e+00
-1.544514881044674715e+00,8.384875290734543185e+00
-1.608969088222318211e+00,8.377880478012979637e+00
-1.673283014717764194e+00,8.369696459790990417e+00
-1.737427152887419224e+00,8.360273988651604427e+00
-1.801377432636225295e+00,8.349614914249341879e+00
-1.865114247322418040e+00,8.337745698965223440e+00
-1.928599730492646769e+00,8.324598289378231541e+00
-1.991824467317354852e+00,8.310249518239748667e+00
-2.054749217072940226e+00,8.294637828048182726e+00
-2.117357899237486851e+00,8.277803339909844738e+00
-2.179625733466125315e+00,8.259748861259337716e+00
-2.241517855128257075e+00,8.240445571569566141e+00
-2.303029174966029657e+00,8.219961052617932751e+00
-2.364110377986649247e+00,8.198227614075245029e+00
-2.424761434137160609e+00,8.175321339079420824e+00
-2.484949148099232730e+00,8.151223925274139859e+00
-2.544648900553085014e+00,8.125941708848749556e+00
-2.603858065817389988e+00,8.099530734323073133e+00
-2.662521523546693469e+00,8.071928819552312007e+00
-2.720656426534451722e+00,8.043230582341605484e+00
-2.778222832065121217e+00,8.013408383947199454e+00
-2.835208501581889529e+00,7.982490890236219272e+00
-2.891611695221746103e+00,7.950522941792707243e+00
-2.947382339761335679e+00,7.917463760332797307e+00
-3.002545358623347038e+00,7.883400454590580253e+00
-3.057062385086932288e+00,7.848312540429393636e+00
-3.110929040975066506e+00,7.812234094862596123e+00
-3.164151044889066622e+00,7.775211086602338284e+00
-3.216678248170892207e+00,7.737208691524786630e+00
-3.268545752368321011e+00,7.698310835432489618e+00
-3.319723087212891777e+00,7.658509274034525305e+00
-3.370204378037886084e+00,7.617828476359977508e+00
-3.420008254119054847e+00,7.576320952654891805e+00
-3.469087050373408587e+00,7.533958526261267608e+00
-3.517478383065318237e+00,7.490812542977902666e+00
-3.565168668046095224e+00,7.446892845288826557e+00
-3.612140857352837742e+00,7.402205913682476712e+00
-3.658427344926933777e+00,7.356809069656958577e+00
-3.703995608929302907e+00,7.310691306399428768e+00
-3.748868523781721418e+00,7.263896685145385668e+00
-3.793057905223819137e+00,7.216455940960942783e+00
-3.836530759441673322e+00,7.168357695681619290e+00
-3.879334094532694177e+00,7.119662711167873859e+00
-3.921450997455073306e+00,7.070372782941835688e+00
-3.962887786311597438e+00,7.020509701250804646e+00
-4.003674985035819311e+00,6.970113796991855182e+00
-4.043780351037791654e+00,6.919173584386835607e+00
-4.083249306623029540e+00,6.867738721442981031e+00
-4.122080349553547407e+00,6.815820537470587581e+00
-4.160271093566670686e+00,6.763429513754347866e+00
-4.197860824933759005e+00,6.710605569086163236e+00
-4.234825946252978035e+00,6.657342643846506647e+00
-4.271207751201099967e+00,6.603679581549843469e+00
-4.307010042485706514e+00,6.549628136967960756e+00
-4.342237787179265673e+00,6.495200450027752481e+00
-4.376929858214132274e+00,6.440429718445193963e+00
-4.411062608022084497e+00,6.385308658811382543e+00
-4.444690544257481335e+00,6.329878184388356921e+00
-4.477803924285904458e+00,6.274138780544666893e+00
-4.510434228171798843e+00,6.218115182369220229e+00
-4.542593488365959331e+00,6.161819858284802720e+00
-4.574297685812928727e+00,6.105266968109659409e+00
-4.605573177879538349e+00,6.048475856556970065e+00
-4.636427731170386757e+00,5.991454921534677069e+00
-4.666895121661103651e+00,5.934226172962719481e+00
-4.696981404883302957e+00,5.876796124865471427e+00
-4.726721826137971760e+00,5.819186204156744147e+00
-4.756126084848356861e+00,5.761403955897262286e+00
-4.785226251442273870e+00,5.703467960981297047e+00
-4.814039521070124117e+00,5.645388726625547804e+00
-4.842591777801565023e+00,5.587180726833434363e+00
-4.870909731449565960e+00,5.528858360313018139e+00
-4.899011993916927210e+00,5.470431750512380731e+00
-4.926932816733074816e+00,5.411918207120320012e+00
-4.954690230911277027e+00,5.353326959448830635e+00
-4.982316574671481924e+00,5.294673792836449344e+00
-5.009838759166205691e+00,5.235971671052062959e+00
-5.037281469133046308e+00,5.177232349421801771e+00
-5.064676527062459854e+00,5.118470786333881861e+00
-5.092051369227037050e+00,5.059699801463404256e+00
-5.119435639458744802e+00,5.000933209505299182e+00
-5.146858797068113667e+00,4.942184756658308586e+00
-5.174349656949047471e+00,4.883467958185589985e+00
-5.201937935641632649e+00,4.824796872886160770e+00
-5.229656517287457618e+00,4.766187242883329844e+00
-5.257531895546247114e+00,4.707652037666687050e+00
-5.285592976631423134e+00,4.649205641789461829e+00
-5.313868307998849794e+00,4.590862604955436410e+00
-5.342385861964620730e+00,4.532637585587458773e+00
-5.371176114307498750e+00,4.474546931595297039e+00
-5.400263425791695937e+00,4.416604473331294578e+00
-5.429671014221393754e+00,4.358823931784560735e+00
-5.459422011937713926e+00,4.301219481381006737e+00
-5.489537802271289735e+00,4.243804924093089959e+00
-5.520037787262906726e+00,4.186593551915501976e+00
-5.550939169747167057e+00,4.129597999029148703e+00
-5.582256755422686290e+00,4.072830086309050301e+00
-5.614002780262429049e+00,4.016300661473640510e+00
-5.646186768098589326e+00,3.960019438725202789e+00
-5.678815422456501949e+00,3.903994842148877709e+00
-5.711892555739715327e+00,3.848233857379320444e+00
-5.745419057727430889e+00,3.792741896079854236e+00
-5.779392904095586481e+00,3.737522677591189613e+00
-5.813809204382064166e+00,3.682578131695320778e+00
-5.848660287558267612e+00,3.627908325820791369e+00
-5.883935822213599565e+00,3.573511419221842011e+00
-5.919622967369145172e+00,3.519383645741176458e+00
-5.955706549160236563e+00,3.465519325771278858e+00
-5.992169258096825324e+00,3.411910907021136641e+00
-6.028991861337998692e+00,3.358549032734052364e+00
-6.066153424397444205e+00,3.305422635139583676e+00
-6.103631536907476729e+00,3.252519051201938627e+00
-6.141402537475959100e+00,3.199824157177168615e+00
-6.179441733228854261e+00,3.147322518128165658e+00
-6.217723996800609498e+00,3.094997832444073005e+00
-6.256224114844972206e+00,3.042833222365922019e+00
-6.294913944144484574e+00,2.990809155411488174e+00
-6.333766511874575400e+00,2.938906503066790243e+00
-6.372754716776503514e+00,2.887105652103358899e+00
-6.411851465040067310e+00,2.835386666777782949e+00
-6.451029789003936976e+00,2.783729442411333022e+00
-6.490262949174881335e+00,2.732113848504364118e+00
-6.529524520387065323e+00,2.680519860032484214e+00
-6.568787878723150619e+00,2.628927231440400636e+00
-6.608026634656066989e+00,2.577315890925689690e+00
-6.647215523385122005e+00,2.525666679884438270e+00
-6.686329808151242560e+00,2.473960953162660736e+00
-6.725344681904644517e+00,2.422180178236229775e+00
-6.764232690977309836e+00,2.370304067726448860e+00
-6.802973174180975136e+00,2.318317709367268886e+00
-6.841543546936559750e+00,2.266205025743620816e+00
-6.879918823199356659e+00,2.213948511910871719e+00
-6.918073351183094744e+00,2.161530623354428915e+00
-6.955990959133875329e+00,2.108941122149169622e+00
-6.993650483166683252e+00,2.056166493863671452e+00
-7.031019468171439968e+00,2.003185759279492384e+00
-7.068089209667571815e+00,1.949995257413797090e+00
-7.104839195226146487e+00,1.896583320791425331e+00
-7.141235502337869079e+00,1.842929775812811366e+00
-7.177274556985540954e+00,1.789035656136124697e+00
-7.212931107043177192e+00,1.734887698506745402e+00
-7.248179648409156073e+00,1.680473297555866719e+00
-7.283017031531473506e+00,1.625794760258113314e+00
-7.317406123320044031e+00,1.570833174846972380e+00
-7.351343423330725102e+00,1.515591533163349380e+00
-7.384809812925645645e+00,1.460063319409403260e+00
-7.417777165536869610e+00,1.404237423743170066e+00
-7.450251055852453064e+00,1.348123030223716379e+00
-7.482183273313560257e+00,1.291698649036139290e+00
-7.513589936884428333e+00,1.234980110311714174e+00
-7.544432971852226721e+00,1.177953100133007469e+00
-7.574710775251623396e+00,1.120624043951898408e+00
-7.604403953336180244e+00,1.062989988974222477e+00
-7.633494720421046154e+00,1.005049586844522169e+00
-7.661980689643436371e+00,9.468094297311598906e-01
-7.689829855024159500e+00,8.882621398456078676e-01
-7.717054792419623332e+00,8.294219587283985229e-01
-7.743611576289882059e+00,7.702772427809302380e-01
-7.769525409362329604e+00,7.108479948344171850e-01
-7.794743007203955187e+00,6.511200091857201055e-01
-7.819299643269389755e+00,5.911172412109119145e-01
-7.843135422967128179e+00,5.308245025755590207e-01
-7.866292978632795752e+00,4.702680291810147351e-01
-7.888708676831720723e+00,4.094330551706824028e-01
-7.910429699345558063e+00,3.483466056381920861e-01
-7.931391608484086753e+00,2.869955310291096851e-01
-7.951643280480509723e+00,2.254063667244885771e-01
-7.971122417857856135e+00,1.635685371355659057e-01
-7.989876737141023533e+00,1.015070422902101810e-01
-8.007848987646648098e+00,3.921458796451275652e-02
-8.025082914099632703e+00,-2.328616227916065901e-02
-8.041529138846257752e+00,-8.599876880473246443e-02
-8.057224701327669436e+00,-1.489034581140559754e-01
-8.072130805373742390e+00,-2.119998555904184234e-01
-8.086275162536514571e+00,-2.752713879640672490e-01
-8.099632116122471359e+00,-3.387137854396266579e-01
-8.112217566418761905e+00,-4.023137517331943358e-01
-8.124021375618184493e+00,-4.660633864023383532e-01
-8.135045313277259993e+00,-5.299525284624387877e-01
-8.145296937605429832e+00,-5.939701152610082913e-01
-8.154761753012666148e+00,-6.581087799567304497e-01
-8.163466969256031547e+00,-7.223549456163713689e-01
-8.171379893837194430e+00,-7.867035210519667254e-01
-8.178549107076953817e+00,-8.511392154538877097e-01
-8.184922004417753527e+00,-9.156585419567854212e-01
-8.190559301057286135e+00,-9.802462851707849367e-01
-8.195419115258536280e+00,-1.044897169156507433e+00
-8.199541780971060234e+00,-1.109599249322458236e+00
-8.202910427865525378e+00,-1.174344952963835675e+00
-8.205540618567518152e+00,-1.239124880212127744e+00
-8.207442642479815476e+00,-1.303930271838580790e+00
-8.208606056543864327e+00,-1.368753155731650129e+00
-8.209069216850785722e+00,-1.433584845948883579e+00
-8.208794700774655340e+00,-1.498417623782916985e+00
-8.207838655623600488e+00,-1.563243929075544214e+00
-8.206168699811673406e+00,-1.628055770477446540e+00
-8.203822271021714130e+00,-1.692846653782489330e+00
-8.200794890128811687e+00,-1.757609289652314777e+00
-8.197092911191024456e+00,-1.822336888620557316e+00
-8.192743921021614639e+00,-1.887024254929179801e+00
-8.187722857923469988e+00,-1.951662943921556037e+00
-8.182079291885051120e+00,-2.016250261617936967e+00
-8.175786875517925267e+00,-2.080777597108742771e+00
-8.168880256748767721e+00,-2.145242087732436520e+00
-8.161361339236867352e+00,-2.209638038525229664e+00
-8.153230273346236956e+00,-2.273959578881018739e+00
-8.144522384640850987e+00,-2.338205598470755930e+00
-8.135206581739774734e+00,-2.402366296245724619e+00
-8.125331495197242404e+00,-2.466443282459688913e+00
-8.114885955143355645e+00,-2.530429754359129646e+00
-8.103881795955603096e+00,-2.594322537714276233e+00
-8.092343939783029683e+00,-2.658121129524103399e+00
-8.080247959426152704e+00,-2.721816269651095688e+00
-8.067637869627297675e+00,-2.785411613727220903e+00
-8.054502367975594268e+00,-2.848900520093323063e+00
-8.040853298104536862e+00,-2.912281009601202175e+00
-8.026714482394169181e+00,-2.975554075258286524e+00
-8.012060052798636534e+00,-3.038709719624392402e+00
-7.996931412990861077e+00,-3.101753433844063768e+00
-7.981322122963812049e+00,-3.164679871646870257e+00
-7.965234218855770543e+00,-3.227485657386121698e+00
-7.948692921150343871e+00,-3.290173569001503928e+00
-7.931680329701663368e+00,-3.352735225145335285e+00
-7.914220723408813107e+00,-3.415173598653335585e+00
-7.896322278354444002e+00,-3.477487611254674427e+00
-7.877968778405323391e+00,-3.539669121300810239e+00
-7.859190840992988925e+00,-3.601723766022614903e+00
-7.839981664111757453e+00,-3.663646283843790208e+00
-7.820340829759016898e+00,-3.725433245652888470e+00
-7.800288775357798521e+00,-3.787087982541729403e+00
-7.779811985500812987e+00,-3.848602962844226649e+00
-7.758921541146290402e+00,-3.909978695527043691e+00
-7.737629913117281433e+00,-3.971216424055251437e+00
-7.715918626457979990e+00,-4.032306627163512402e+00
-7.693806420991232464e+00,-4.093252847818146023e+00
-7.671299819686067778e+00,-4.154054546938446002e+00
-7.648377020801424564e+00,-4.214700560878143598e+00
-7.625060916372921049e+00,-4.275196434648298904e+00
-7.601353963662961455e+00,-4.335540236555091909e+00
-7.577232618700044497e+00,-4.395719590781113517e+00
-7.552720609952399577e+00,-4.455740858908639801e+00
-7.527818141054008372e+00,-4.515601202536550396e+00
-7.502501536520077785e+00,-4.575287574849896899e+00
-7.476792087739323911e+00,-4.634805764151148644e+00
-7.450689556459283658e+00,-4.694152630403905846e+00
-7.424171842404679644e+00,-4.753315145957023979e+00
-7.397254426068326616e+00,-4.812296859019440376e+00
-7.369938505844008780e+00,-4.871095086007738217e+00
-7.342205418560320496e+00,-4.929697703476365156e+00
-7.314061235720186183e+00,-4.988103986094168718e+00
-7.285510596148758289e+00,-5.046312660347823886e+00
-7.256540333461137138e+00,-5.104313638039821299e+00
-7.227143194665455184e+00,-5.162099419093157948e+00
-7.197329431925421517e+00,-5.219671337877612061e+00
-7.167093654033283023e+00,-5.277022771794234401e+00
-7.136410999270970557e+00,-5.334136370938528771e+00
-7.105299699084984155e+00,-5.391017571435030575e+00
-7.073755509127271246e+00,-5.447659866156760344e+00
-7.041758667207249189e+00,-5.504047698162493951e+00
-7.009310580704183558e+00,-5.560177051278544447e+00
-6.976415744577723288e+00,-5.616045742584362621e+00
-6.943067133216097808e+00,-5.671644794160073388e+00
-6.909239448919798576e+00,-5.726953663983076481e+00
-6.874950273233644715e+00,-5.781977567079850999e+00
-6.840194702022256656e+00,-5.836708077996972222e+00
-6.804955788825154173e+00,-5.891128648687404379e+00
-6.769226838857480999e+00,-5.945228729587904937e+00
-6.733016306611870228e+00,-5.999007629129217811e+00
-6.696319283875292072e+00,-6.052455781270651869e+00
-6.659110874957938186e+00,-6.105549191470547754e+00
-6.621399898050468025e+00,-6.158286770930626375e+00
-6.583187674308317305e+00,-6.210662278357236943e+00
-6.544469583512621647e+00,-6.262665005668361040e+00
-6.505214714923505781e+00,-6.314263727547726468e+00
-6.465444486088119724e+00,-6.365466191071326385e+00
-6.425154988335216366e+00,-6.416261062843400254e+00
-6.384338178541836939e+00,-6.466633237907142728e+00
-6.342971021791857567e+00,-6.516554417326353210e+00
-6.301072850418930393e+00,-6.566030670261246094e+00
-6.258640298796877666e+00,-6.615049396361099454e+00
-6.215663146022609276e+00,-6.663591397815769923e+00
-6.172125124448598399e+00,-6.711630955859059888e+00
-6.128044033343260644e+00,-6.759172583951949420e+00
-6.083417659060071259e+00,-6.806202760130699581e+00
-6.038234872928128993e+00,-6.852698683040621574e+00
-5.992484788691564646e+00,-6.898636475230562226e+00
-5.946184766327369253e+00,-6.944019833619909043e+00
-5.899334055878527217e+00,-6.988834508498817044e+00
-5.851921606335682924e+00,-7.033054502941934238e+00
-5.803941128496160395e+00,-7.076657450991938880e+00
-5.755410277604505076e+00,-7.119646867052914274e+00
-5.706330056163324116e+00,-7.162008042937204166e+00
-5.656690217635683027e+00,-7.203712094269926425e+00
-5.606488786104610433e+00,-7.244738328975176778e+00
-5.555744104557229335e+00,-7.285090562725593522e+00
-5.504459172536444456e+00,-7.324753976570161029e+00
-5.452625084292873403e+00,-7.363697038281275198e+00
-5.400244186647747746e+00,-7.401901353036938858e+00
-5.347335626841391409e+00,-7.439371369468175565e+00
-5.293904576680620089e+00,-7.476092578799751642e+00
-5.239943909401215905e+00,-7.512031065319495937e+00
-5.185460320829326619e+00,-7.547171632826500165e+00
-5.130473705193054457e+00,-7.581519600227352385e+00
-5.074991486269991192e+00,-7.615061247174222281e+00
-5.019008743040745735e+00,-7.647760715636797713e+00
-4.962536286322158041e+00,-7.679606846566831457e+00
-4.905594637990583706e+00,-7.710606092918402155e+00
-4.848193435305500287e+00,-7.740746030801064492e+00
-4.790330424945204335e+00,-7.769989664962028364e+00
-4.732019845107060085e+00,-7.798330189932418222e+00
-4.673282750903235083e+00,-7.825775651628102736e+00
-4.614130822483299532e+00,-7.852315422747510709e+00
-4.554564950440393112e+00,-7.877912718118261104e+00
-4.494601625545854517e+00,-7.902564391606390792e+00
-4.434262397151128354e+00,-7.926280916706110347e+00
-4.373560685248011559e+00,-7.949053911453109578e+00
-4.312500917341122175e+00,-7.970848802590611015e+00
-4.251100339967075037e+00,-7.991664007900362243e+00
-4.189380969457984882e+00,-8.011513778957874976e+00
-4.127357546009761791e+00,-8.030392333970674201e+00
-4.065038186966353884e+00,-8.048269958070537911e+00
-4.002439420036647100e+00,-8.065142980963162955e+00
-3.939583601106059429e+00,-8.081031341525141798e+00
-3.876486285694340950e+00,-8.095932085234430531e+00
-3.813159020655090270e+00,-8.109823476486807792e+00
-3.749616601878444477e+00,-8.122694735296601465e+00
-3.685881349432477805e+00,-8.134573855836816136e+00
-3.621969086408955540e+00,-8.145460791761639285e+00
-3.557893985065555764e+00,-8.155345046309571799e+00
-3.493668961868113598e+00,-8.164202907533056219e+00
-3.429315546597763387e+00,-8.172072991151537735e+00
-3.364849285458250350e+00,-8.178958094188025996e+00
